,Term1,Term2,Term3,Term4
0,urticaria,piel,endometritis,endometrio
1,vertigo,laberinto,piometra,utero
2,epilepsia,cerebro,coriorretinitis,retina
3,neumonia,pulmon,coroiditis,coroides
4,asialia,saliva,desgarro,piel
5,lipodistrofia,piel,epilepsia,cerebro
6,rinofima,piel,palidez,piel
7,emetropia,ojo,diplopia,ojo
8,lipoatrofia,piel,crup,laringe
9,miopia,ojo,hiperemia,piel
10,reflujo,esofago,cefalodinia,cabeza
11,uremia,riñon,apendicitis,apendice
12,parasoriasis,piel,coroiditis,retina
13,tracoma,conjuntiva,rinorrea,nariz
14,progeria,piel,hemoptisis,expectoracion
15,dismenorrea,utero,despierto,cerebro
16,nistagmo,ojo,astigmatismo,ojo
17,polio,cerebro,hirsutismo,piel
18,pitiriasis,piel,agiria,cerebro
19,meningoencefalitis,cerebro,desvanecimiento,cerebro
20,hiperqueratosis,piel,gingivitis,encia
21,silicatosis,pulmon,erisipela,piel
22,vaginitis,vagina,scrapie,posencefalo
23,queratitis,cornea,hepatoesplenomegalia,higado
24,acidez,esofago,delirio,cerebro
25,prostatitis,prostata,miopia,ojo
26,variola,piel,pancreatitis,pancreas
27,pleuresia,pleura,gingivoestomatitis,encia
28,sudoracion,cabello,artritis,articulaciones
29,ictericia,piel,gingivoestomatitis,mandibula
30,somnolencia,cerebro,bronquiolitis,pulmon
31,priapismo,pene,hipernasalidad,nariz
32,piometra,utero,polineuritis,nervio
33,parasomnia,cerebro,aura,cerebro
34,vitiligo,piel,neumonia,pulmon
35,estrabismo,ojo,retinitis,ojo
36,palidez,cara,osteopenia,cartilago
37,fototoxicidad,piel,dermatitis,piel
38,scrapie,posencefalo,pericarditis,corazon
39,orquitis,testiculo,epistaxis,nariz
40,poliosis,piel,pinguicula,conjuntiva
41,piedra,piel,eczema,piel
42,contextura,piel,anquiloglosia,lengua
43,conjuntivitis,ojo,coriorretinitis,retina
44,polineuritis,nervio,antrax,piel
45,politricosis,piel,gingivitis,encia
46,queratoconjuntivitis,ojo,excoriacion,piel
47,hidronefrosis,riñon,acidez,piel
48,sudoracion,cabello,anquiloglosia,lengua
49,piedra,piel,meningococemia,sangre
50,esofagitis,esofago,encefalitis,cerebro
51,glomerulonefritis,riñon,anquiloglosia,mandibula
52,laminitis,pezuña,hiperpatia,piel
53,glositis,mandibula,cicatriz,piel
54,artrogrifosis,articulaciones,acne,piel
55,pesadilla,cerebro,artritis,articulaciones
56,neuromielitis,nervio,coroiditis,coroides
57,polineuropatia,nervio,pinguicula,conjuntiva
58,sudoracion,piel,rubor,cara
59,osteitis,cartilago,queloide,piel
60,acidez,piel,criptorquidia,testiculo
61,prostatitis,prostata,diaforesis,piel
62,esteatohepatitis,higado,deslumbramiento,ojo
63,hemotorax,pleura,diaforesis,cabello
64,viremia,sangre,purpura,piel
65,hiperpigmentacion,piel,deslumbramiento,ojo
66,esofagitis,esofago,corvaza,articulaciones
