,Term1,Term2,Term3,Term4
0,psitacosis,clamidia,osteomielitis,organismo
1,septicemia,microorganismo,sarna,animal
2,polio,enterovirico,osteomielitis,organismo
3,pielonefritis,organismo,leishmaniosis,protozoo
4,psitacosis,clamidia,neumoconiosis,polvo
5,osteomielitis,organismo,onicomicosis,hongos
6,onicomicosis,hongos,hemocromatosis,hierro
7,pielonefritis,organismo,hemocromatosis,hierro
8,leishmaniosis,protozoo,criptosporidiasis,criptosporidio
9,septicemia,microorganismo,micetoma,hongos
10,miasis,artropodo,hipersensibilidad,droga
11,miasis,insectos,coccidiosis,protozoo
12,osteomielitis,organismo,dermatomicosis,hongos
13,osteomielitis,organismo,excoriacion,friccion
14,septicemia,microorganismo,polio,enterovirico
15,superinfeccion,organismo,neumoconiosis,polvo
16,superinfeccion,organismo,hipersensibilidad,droga
17,psitacosis,clamidia,hemocromatosis,hierro
18,prurito,animal,miasis,artropodo
19,polio,enterovirico,dermatomicosis,hongos
20,psitacosis,clamidia,amiantosis,asbestos
21,prurito,artropodo,onicomicosis,hongos
22,viremia,virico,hipersensibilidad,droga
23,sepsis,microorganismo,hemosiderosis,hierro
24,superinfeccion,organismo,septicemia,microorganismo
25,neumoconiosis,polvo,miasis,insectos
26,viremia,virico,psitacosis,clamidia
27,septicemia,microorganismo,fototoxicidad,claro
28,superinfeccion,organismo,fototoxicidad,claro
29,prurito,animal,criptosporidiasis,criptosporidio
30,pielonefritis,organismo,hipersensibilidad,droga
31,neumoconiosis,polvo,onicomicosis,hongos
32,prurito,animal,coccidiosis,protozoo
33,pielonefritis,organismo,psitacosis,clamidia
34,miasis,insectos,hemocromatosis,hierro
35,sepsis,microorganismo,prurito,animal
36,hemosiderosis,hierro,dermatomicosis,hongos
37,polio,enterovirico,hipersensibilidad,droga
38,osteomielitis,organismo,sarna,animal
39,sepsis,microorganismo,amiantosis,asbestos
40,viremia,virico,hemocromatosis,hierro
41,hemocromatosis,hierro,amiantosis,asbestos
