,Term1,Term2,Term3,Term4
0,graduado,plastico,colodion,cima
1,saliva,oral,lubricante,cima
2,papaina,carbonildiamida,niacinamida,niacina
3,papaina,carbonildiamida,vendaje,cima
4,vaselina,cima,faja,mediano
5,papaina,carbonildiamida,graduado,plastico
6,saliva,treinta,adhesivo,cima
7,pierna,gran,aposito,espuma
8,vaselina,cima,cojin,mediano
9,insulina,humano,cojin,mediano
10,azucar,sacarosa,aposito,esteril
11,saliva,treinta,pierna,chico
12,esponja,esteril,pierna,gran
13,faja,chico,adhesivo,cima
14,papaina,carbonildiamida,aposito,esteril
15,forro,adhesivo,pierna,gran
16,plateado,oral,pierna,chico
17,esponja,esteril,celulosa,cima
18,papaina,carbonildiamida,lubricante,cima
19,pierna,chico,aposito,esteril
20,plateado,oral,insulina,humano
21,cojin,mediano,vendaje,cima
22,plateado,oral,aposito,espuma
23,papaina,carbonildiamida,colodion,cima
24,vaselina,cima,papaina,carbonildiamida
25,aposito,espuma,vendaje,cima
26,niacinamida,niacina,lanolina,cima
27,lubricante,cima,lanolina,cima
28,saliva,oral,aposito,esteril
29,aposito,esteril,vendaje,cima
30,saliva,sesenta,aposito,cima
31,vaselina,cima,faja,chico
32,esponja,esteril,saliva,treinta
33,saliva,treinta,papaina,carbonildiamida
34,esponja,esteril,faja,chico
35,plateado,oral,yodopovidona,yodo
36,colodion,cima,auranofina,dorado
37,saliva,treinta,vendaje,cima
38,saliva,sesenta,celulosa,cima
39,aposito,cima,celulosa,cima
40,insulina,humano,faja,chico
41,forro,adhesivo,celulosa,cima
42,saliva,oral,niacinamida,niacina
43,azucar,sacarosa,aposito,espuma
44,saliva,sesenta,vendaje,cima
45,insulina,humano,faja,gran
46,forro,adhesivo,colodion,cima
47,azucar,sacarosa,faja,chico
48,saliva,treinta,colodion,cima
49,azucar,sacarosa,esponja,esteril
50,pierna,gran,vendaje,cima
51,esponja,esteril,auranofina,dorado
52,pierna,chico,faja,mediano
53,yodopovidona,yodo,cojin,mediano
54,colodion,cima,celulosa,cima
55,plateado,oral,auranofina,dorado
56,esponja,esteril,lubricante,cima
57,saliva,sesenta,colodion,cima
58,graduado,plastico,faja,gran
59,esponja,esteril,papaina,carbonildiamida
60,saliva,treinta,faja,mediano
61,graduado,plastico,cojin,mediano
62,cojin,mediano,faja,mediano
63,pierna,gran,lanolina,cima
64,azucar,sacarosa,graduado,plastico
65,lanolina,cima,graduado,plastico
66,niacinamida,niacina,faja,gran
67,saliva,sesenta,saliva,treinta
68,papaina,carbonildiamida,pierna,gran
69,esponja,esteril,forro,adhesivo
70,azucar,sacarosa,faja,mediano
71,forro,adhesivo,faja,mediano
72,aposito,esteril,aposito,espuma
73,saliva,sesenta,niacinamida,niacina
74,saliva,oral,forro,adhesivo
75,saliva,oral,pierna,gran
76,insulina,humano,aposito,espuma
77,aposito,espuma,faja,gran
78,auranofina,dorado,adhesivo,cima
79,saliva,treinta,lanolina,cima
80,azucar,sacarosa,forro,adhesivo
81,pierna,gran,insulina,humano
82,lanolina,cima,aposito,cima
83,saliva,sesenta,faja,chico
84,papaina,carbonildiamida,celulosa,cima
85,yodopovidona,yodo,aposito,espuma
86,forro,adhesivo,cojin,mediano
87,lubricante,cima,cojin,mediano
88,aposito,cima,faja,gran
89,saliva,sesenta,insulina,humano
90,celulosa,cima,vendaje,cima
91,aposito,espuma,faja,chico
92,esponja,esteril,pierna,chico
93,vaselina,cima,adhesivo,cima
94,faja,chico,vendaje,cima
95,esponja,esteril,adhesivo,cima
96,esponja,esteril,plateado,oral
97,saliva,oral,insulina,humano
98,niacinamida,niacina,aposito,esteril
99,saliva,treinta,yodopovidona,yodo
100,aposito,esteril,auranofina,dorado
101,colodion,cima,faja,gran
102,vaselina,cima,aposito,cima
103,saliva,sesenta,graduado,plastico
104,lubricante,cima,aposito,esteril
105,yodopovidona,yodo,pierna,chico
106,pierna,gran,faja,gran
107,vaselina,cima,lanolina,cima
108,saliva,oral,adhesivo,cima
109,forro,adhesivo,graduado,plastico
110,pierna,gran,faja,mediano
111,graduado,plastico,auranofina,dorado
112,faja,gran,vendaje,cima
113,forro,adhesivo,adhesivo,cima
114,pierna,chico,graduado,plastico
115,plateado,oral,saliva,treinta
116,lanolina,cima,auranofina,dorado
117,papaina,carbonildiamida,adhesivo,cima
118,papaina,carbonildiamida,lanolina,cima
119,faja,mediano,vendaje,cima
120,saliva,oral,pierna,chico
121,forro,adhesivo,insulina,humano
122,esponja,esteril,saliva,sesenta
123,saliva,sesenta,yodopovidona,yodo
124,aposito,cima,aposito,espuma
125,plateado,oral,lanolina,cima
126,saliva,sesenta,faja,mediano
127,azucar,sacarosa,yodopovidona,yodo
128,colodion,cima,faja,chico
129,faja,chico,faja,mediano
130,saliva,oral,vaselina,cima
131,faja,mediano,faja,gran
132,plateado,oral,faja,chico
133,cojin,mediano,colodion,cima
134,saliva,oral,vendaje,cima
135,insulina,humano,faja,mediano
136,yodopovidona,yodo,colodion,cima
137,plateado,oral,celulosa,cima
138,saliva,oral,papaina,carbonildiamida
139,azucar,sacarosa,insulina,humano
140,saliva,oral,aposito,cima
141,saliva,treinta,faja,gran
142,saliva,oral,faja,mediano
143,faja,chico,faja,gran
144,pierna,chico,lanolina,cima
145,saliva,treinta,cojin,mediano
146,aposito,cima,colodion,cima
147,saliva,oral,saliva,treinta
148,faja,gran,auranofina,dorado
149,niacinamida,niacina,auranofina,dorado
150,saliva,treinta,faja,chico
151,pierna,gran,adhesivo,cima
152,plateado,oral,colodion,cima
153,aposito,esteril,celulosa,cima
154,papaina,carbonildiamida,aposito,cima
155,plateado,oral,lubricante,cima
156,papaina,carbonildiamida,forro,adhesivo
157,saliva,treinta,aposito,espuma
158,pierna,gran,faja,chico
159,azucar,sacarosa,pierna,chico
160,faja,chico,auranofina,dorado
161,lanolina,cima,aposito,espuma
162,aposito,esteril,adhesivo,cima
163,saliva,sesenta,cojin,mediano
164,celulosa,cima,auranofina,dorado
165,saliva,treinta,aposito,cima
166,niacinamida,niacina,adhesivo,cima
167,saliva,sesenta,vaselina,cima
168,saliva,treinta,graduado,plastico
169,cojin,mediano,faja,chico
170,insulina,humano,vendaje,cima
171,lubricante,cima,vendaje,cima
172,aposito,espuma,cojin,mediano
173,aposito,espuma,colodion,cima
174,graduado,plastico,faja,mediano
175,azucar,sacarosa,adhesivo,cima
176,saliva,sesenta,forro,adhesivo
177,yodopovidona,yodo,faja,chico
178,vaselina,cima,pierna,chico
179,esponja,esteril,aposito,espuma
180,lubricante,cima,faja,chico
181,celulosa,cima,adhesivo,cima
182,cojin,mediano,faja,gran
183,lubricante,cima,pierna,gran
184,vaselina,cima,niacinamida,niacina
185,lubricante,cima,adhesivo,cima
186,azucar,sacarosa,niacinamida,niacina
187,graduado,plastico,adhesivo,cima
188,saliva,treinta,vaselina,cima
189,esponja,esteril,lanolina,cima
190,esponja,esteril,aposito,cima
191,forro,adhesivo,lanolina,cima
192,papaina,carbonildiamida,faja,chico
193,aposito,esteril,colodion,cima
194,saliva,oral,faja,gran
195,papaina,carbonildiamida,faja,gran
196,niacinamida,niacina,graduado,plastico
197,pierna,chico,insulina,humano
198,esponja,esteril,saliva,oral
199,pierna,chico,faja,gran
200,cojin,mediano,auranofina,dorado
201,forro,adhesivo,faja,chico
202,vaselina,cima,forro,adhesivo
203,aposito,esteril,faja,chico
204,saliva,oral,auranofina,dorado
205,plateado,oral,pierna,gran
206,lanolina,cima,faja,gran
207,azucar,sacarosa,saliva,sesenta
