,Term1,Term2,Term3,Term4
0,guaifenesina,coqueluche,cerivastatina,hipercolesterolemia
1,bismuto,disenteria,benzocaina,otalgia
2,prometazina,vomitos,clofazimina,lepra
3,tiroxina,bocio,omeprazol,esofagitis
4,vancomicina,meningitis,niacina,hiperlipemia
5,desoxiefedrina,narcolepsia,lidocaina,dolor
6,etoposido,rabdosarcoma,doxiciclina,neumonia
7,prednisona,hipercalcemia,gemfibrozilo,hipercolesterolemia
8,fluconazol,meningitis,aciclovir,varicela
9,digoxina,shock,tirocalcitonina,osteoporosis
10,docetaxel,melanoma,atropina,envenenamiento
11,irinotecan,linfoma,clonazepam,esquizofrenia
12,clonidina,dolor,cefepima,neumonia
13,paromomicina,criptosporidiasis,fenfluramina,bulimia
14,fenilefrina,rinitis,metronidazol,rosacea
15,warfarina,tromboembolia,prometazina,dolor
16,prednisolona,inflamacion,ceftriaxona,peritonitis
17,propofol,desazon,meropenem,fiebre
18,difenhidramina,rinitis,calcitriol,raquitismo
19,topiramato,epilepsia,nitazoxanida,diarrea
20,azufre,rosacea,docetaxel,melanoma
21,moxifloxacino,neumonia,cortisol,shock
22,irinotecan,leucemia,clozapina,esquizofrenia
23,minoxidil,calvicie,itraconazol,aspergilosis
24,oxacilina,osteomielitis,filgrastim,neutropenia
25,diclorodiaminoplatino,carcinoma,captopril,edema
26,prednisolona,conjuntivitis,irinotecan,leucemia
27,pseudoefedrina,asma,difenhidramina,urticaria
28,ciprofloxacino,sinusitis,acetilcisteina,envenenamiento
29,flucitosina,aspergilosis,ceftriaxona,gonorrea
30,prednisona,hipercalcemia,fenilefrina,hipopiesis
31,loratadina,urticaria,clonazepam,esquizofrenia
32,papaverina,tromboembolia,leflunomida,reumatismo
33,ciprofloxacino,osteomielitis,ceftazidima,neumonia
34,eugenol,dentalgia,ampicilina,gonorrea
35,citalopram,demencia,aspirina,gota
36,ivermectina,prurito,carisoprodol,espasmo
37,daunorubicina,leucemia,alopurinol,gota
38,simvastatina,hipercolesterolemia,fenitoina,epilepsia
39,ciprofloxacino,neutropenia,cerivastatina,hipercolesterolemia
40,topotecan,carcinoma,claritromicina,sinusitis
41,rifampicina,tuberculosis,clonidina,glaucoma
42,glucagon,bradicardia,dextran,shock
43,morfina,dolor,ibuprofeno,gota
44,codeina,tos,albendazol,helmintosis
45,sulfanilamida,candidosis,norepinefrina,shock
46,perfenazina,esquizofrenia,mesna,cistitis
47,sucralfato,mucitis,calcitriol,soriasis
48,fenitoina,epilepsia,bromocriptina,acromegalia
49,opio,diarrea,acetilcisteina,bronquitis
50,probenecid,gota,linezolid,neumonia
51,hidrocodona,dolor,clonidina,dolor
52,gemfibrozilo,hipercolesterolemia,aspirina,fiebre
53,dapsona,lepra,aspirina,inflamacion
54,propranolol,taquiarritmia,buprenorfina,dolor
55,sulfanilamida,candidosis,epinefrina,taquiarritmia
56,haloperidol,vomitos,auranofina,penfigo
57,propofol,delirio,difenhidramina,rinitis
58,ketamina,dolor,dietilestilbestrol,carcinoma
59,prednisona,hipersensibilidad,atorvastatina,hipertrigliceridemia
60,warfarina,tromboembolia,bromocriptina,amenorrea
61,doxiciclina,lues,paracetamol,fiebre
62,procarbazina,melanoma,prednisolona,edema
63,ciprofloxacino,osteomielitis,bleomicina,melanoma
64,ciclosporina,soriasis,ciprofloxacino,cistitis
65,pseudoefedrina,rinitis,prometazina,vomitos
66,penicilamina,reumatismo,acetilcisteina,neumonia
67,sucralfato,neumonia,cefepima,fiebre
68,pralidoxima,envenenamiento,dextrometorfano,tos
69,trombina,sangrado,cetoconazol,candidosis
70,papaverina,tromboembolia,meperidina,dolor
71,fenobarbital,hiperbilirrubinemia,acetofenetidina,fiebre
72,penicilamina,reumatismo,doxilamina,cefalodinia
73,metronidazol,enterocolitis,ibuprofeno,dismenorrea
74,azufre,soriasis,flecainida,taquiarritmia
75,meropenem,fiebre,paracetamol,dolor
76,flucitosina,aspergilosis,ciclofosfamida,hemosiderosis
77,fentanilo,dolor,acetilcisteina,envenenamiento
78,delta   tetrahidrocanabinol,anorexia,butorfanol,dolor
79,talco,neumotorax,dextran,shock
80,nistatina,candidosis,ciprofloxacino,disenteria
81,fenobarbital,hiperbilirrubinemia,ciprofloxacino,disenteria
82,metronidazol,enterocolitis,cefotaxima,peritonitis
83,etoposido,neuroblastoma,esomeprazol,esofagitis
84,pralidoxima,envenenamiento,oxigeno,gangrenoso
85,rifampicina,tuberculosis,auranofina,artritis
86,risperidona,demencia,bupivacaina,dolor
87,teofilina,apnea,opio,diarrea
88,escopolamina,diverticulitis,propofol,desazon
89,etoposido,neuroblastoma,ciprofloxacino,osteomielitis
90,delta   tetrahidrocanabinol,nauseoso,calcitriol,soriasis
91,cefotaxima,meningitis,amitriptilina,dolor
92,itraconazol,histoplasmosis,diclofenaco,fotofobia
93,nilutamida,carcinoma,l arginina,alcalosis
94,rifampicina,brucelosis,hidrocodona,tos
95,desoxiefedrina,narcolepsia,fentanilo,dolor
96,prednisolona,inflamacion,cefuroxima,neumonia
97,glucagon,hipoglucemia,acetilcisteina,neumonia
98,metronidazol,rosacea,bromocriptina,acromegalia
99,meperidina,dolor,leflunomida,reumatismo
100,ametopterina, m osteosarcoma,docetaxel,melanoma
101,perfenazina,vomitos,cerivastatina,hipercolesterolemia
102,permetrina,prurito,opio,dolor
103,prednisolona,edema,doxiciclina,neumonia
104,morfina,dolor,bismuto,disenteria
105,tetraciclina,bronquitis,propofol,desazon
106,teofilina,bronquitis,sulfanilamida,candidosis
107,lindano,prurito,salbutamol,asma
108,meticilina,neumonia,hidrocodona,tos
109,vancomicina,enterocolitis,meprobamato,espasmo
110,escopolamina,diverticulitis,diclorodiaminoplatino,linfoma
111,meropenem,meningitis,diclofenaco,dismenorrea
112,furosemida,edema,captopril,edema
113,topotecan,carcinoma,glucagon,anafilaxia
114,midazolam,desazon,l arginina,acidosis
115,prazicuantel,helmintosis,gabapentina,epilepsia
116,valdecoxib,dismenorrea,gabapentina,epilepsia
117,imipramina,dolor,cefepima,neutropenia
118,procainamida,taquiarritmia,tirocalcitonina,osteoporosis
119,propranolol,taquiarritmia,oxigeno,neumonia
120,glicerina,estreñimiento,aspirina,fiebre
121,moxifloxacino,gonorrea,codeina,tos
122,vincristina,leucemia,indometacina,bursitis
123,meticilina,osteomielitis,fluconazol,meningitis
124,desoxiefedrina,narcolepsia,cefotaxima,gonorrea
125,rifampicina,lepra,carisoprodol,espasmo
126,linezolid,neumonia,desmopresina,enuresis
127,oxacilina,septicemia,ciprofloxacino,osteomielitis
128,cimetidina,acidez,acetilcisteina,envenenamiento
129,acetofenetidina,dolor,ceftazidima,sepsis
130,delta   tetrahidrocanabinol,nauseoso,  fenilpropano   amina,narcolepsia
131,vancomicina,neutropenia,probenecid,gonorrea
132,procaina,dolor,ametopterina,soriasis
133,prednisolona,edema,buprenorfina,dolor
134,insulina,humano,ciprofloxacino,gonorrea
135,simvastatina,hipertrigliceridemia,cisaprida,estreñimiento
136,sulfametoxazol,toxoplasmosis,cisaprida,dispepsia
137,liotironina,tirotoxicosis,morfina,disnea
138,vinblastina,corioepitelioma,insulina,humano
139,ibuprofeno,dismenorrea,digoxina,shock
140,venlafaxina,dolor,prostaciclina,purpura
141,naproxeno,dismenorrea,prostaciclina,purpura
142,warfarina,tromboflebitis,ibuprofeno,dolor
143,oxitetraciclina,lues,metilprednisolona,hipersensibilidad
